playerId	playerName	position	team	point
361536	R. Avila	[{'y': 51, 'x': 50}, {'y': 38, 'x': 28}]	Panama	-5
273683	F. Escobar	[{'y': 38, 'x': 28}, {'y': 70, 'x': 68}]	Panama	26
86414	A. Godoy	[{'y': 70, 'x': 68}, {'y': 76, 'x': 63}]	Panama	10
120717	O. Haddadi	[{'y': 30, 'x': 32}, {'y': 24, 'x': 37}]	Tunisia	23
125848	A. Machado	[{'y': 76, 'x': 63}, {'y': 54, 'x': 67}]	Panama	3
354043	G. Chaalali	[{'y': 46, 'x': 33}, {'y': 30, 'x': 53}]	Tunisia	17
59083	G. G\u00f3mez	[{'y': 70, 'x': 47}, {'y': 56, 'x': 56}]	Panama	29
91263	R. Torres	[{'y': 67, 'x': 27}, {'y': 53, 'x': 15}]	Panama	35
125774	J. Penedo	[{'y': 53, 'x': 15}, {'y': 33, 'x': 51}]	Panama	50
241077	Y. B\u00e1rcenas	[{'y': 33, 'x': 51}, {'y': 33, 'x': 44}]	Panama	13
116997	G. Torres	[{'y': 11, 'x': 92}, {'y': 6, 'x': 89}]	Panama	-3
293080	H. Nagguez	[{'y': 89, 'x': 8}, {'y': 94, 'x': 11}]	Tunisia	6
25776	W. Khazri	[{'y': 89, 'x': 42}, {'y': 84, 'x': 40}]	Tunisia	30
120900	R. Bedoui	[{'y': 65, 'x': 21}, {'y': 67, 'x': 20}]	Tunisia	12
120898	A. Mathlouthi	[{'y': 60, 'x': 19}, {'y': 37, 'x': 24}]	Tunisia	14
331763	Y. Meriah	[{'y': 37, 'x': 24}, {'y': 24, 'x': 28}]	Tunisia	31
120853	F. Sassi	[{'y': 24, 'x': 28}, {'y': 56, 'x': 31}]	Tunisia	-2
131862	L. Ovalle	[{'y': 10, 'x': 36}, {'y': 36, 'x': 40}]	Panama	14
209354	F. Ben Youssef	[{'y': 90, 'x': 64}, {'y': 64, 'x': 60}]	Tunisia	41
26100	N. Sliti	[{'y': 52, 'x': 62}, {'y': 41, 'x': 75}]	Tunisia	17
